"Id2","Geography","Total..Estimate..Households","Households.receiving.food.stamps..Estimate..Households","Total..Estimate..With.children.under.18.years","Households.receiving.food.stamps..Estimate..With.children.under.18.years","Total..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Households.receiving.food.stamps..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Total..Estimate..Hispanic.or.Latino.origin..of.any.race.","Households.receiving.food.stamps..Estimate..Hispanic.or.Latino.origin..of.any.race."
37183053007,"Census Tract 530.07, Wake County, North Carolina",1065,8,"27.9","100.0","1.3","0.0","0.0","0.0"
37183053008,"Census Tract 530.08, Wake County, North Carolina",3432,306,"24.3","70.9","14.2","35.9","4.1","0.0"
37183053009,"Census Tract 530.09, Wake County, North Carolina",2754,330,"42.4","79.4","20.5","42.4","21.5","67.0"
37183053105,"Census Tract 531.05, Wake County, North Carolina",1395,14,"34.1","100.0","0.7","0.0","3.2","0.0"
37183053106,"Census Tract 531.06, Wake County, North Carolina",1274,248,"30.5","50.4","15.5","73.4","0.0","0.0"
37183053107,"Census Tract 531.07, Wake County, North Carolina",3407,337,"35.1","59.3","12.2","59.1","6.9","0.0"
37183053108,"Census Tract 531.08, Wake County, North Carolina",2301,136,"41.4","59.6","10.2","61.8","7.1","19.9"
37183053109,"Census Tract 531.09, Wake County, North Carolina",2830,140,"44.6","85.0","5.0","22.1","7.0","55.7"
37183053110,"Census Tract 531.10, Wake County, North Carolina",1913,139,"41.8","69.8","5.5","16.5","5.3","5.0"
37183053111,"Census Tract 531.11, Wake County, North Carolina",1937,298,"41.5","72.5","14.2","57.0","11.0","33.6"
37183053201,"Census Tract 532.01, Wake County, North Carolina",3479,218,"52.9","83.9","4.5","39.0","3.8","23.4"
37183053202,"Census Tract 532.02, Wake County, North Carolina",1554,0,"47.4","-","1.9","-","0.0","-"
37183053203,"Census Tract 532.03, Wake County, North Carolina",2464,55,"53.4","54.5","7.2","0.0","2.4","0.0"
37183053204,"Census Tract 532.04, Wake County, North Carolina",1737,141,"50.3","33.3","1.8","0.0","0.9","0.0"
37183053205,"Census Tract 532.05, Wake County, North Carolina",655,66,"52.2","92.4","7.5","37.9","0.8","0.0"
37183053206,"Census Tract 532.06, Wake County, North Carolina",1450,179,"57.0","55.9","10.8","38.5","1.4","0.0"
37183053207,"Census Tract 532.07, Wake County, North Carolina",2296,137,"53.0","44.5","5.0","44.5","1.9","0.0"
37183053405,"Census Tract 534.05, Wake County, North Carolina",1771,11,"37.5","0.0","1.5","100.0","0.5","0.0"
37183053408,"Census Tract 534.08, Wake County, North Carolina",1221,18,"60.4","100.0","4.9","100.0","0.3","0.0"
37183053409,"Census Tract 534.09, Wake County, North Carolina",2142,20,"62.9","100.0","3.2","100.0","8.4","0.0"
37183053410,"Census Tract 534.10, Wake County, North Carolina",1476,13,"66.6","0.0","4.9","100.0","3.9","100.0"
37183053411,"Census Tract 534.11, Wake County, North Carolina",2183,51,"56.5","27.5","3.8","27.5","1.2","0.0"
37183053412,"Census Tract 534.12, Wake County, North Carolina",2081,51,"52.8","88.2","4.7","100.0","1.2","0.0"
37183053413,"Census Tract 534.13, Wake County, North Carolina",1689,6,"55.5","0.0","2.5","100.0","2.1","0.0"
37183053414,"Census Tract 534.14, Wake County, North Carolina",2821,50,"55.2","68.0","1.5","0.0","5.5","20.0"
37183053415,"Census Tract 534.15, Wake County, North Carolina",984,11,"64.0","0.0","0.9","81.8","6.0","81.8"
37183053416,"Census Tract 534.16, Wake County, North Carolina",2024,6,"44.1","100.0","4.4","0.0","3.8","0.0"
37183053417,"Census Tract 534.17, Wake County, North Carolina",878,82,"40.1","80.5","2.4","14.6","1.5","0.0"
37183053418,"Census Tract 534.18, Wake County, North Carolina",2185,63,"36.1","28.6","9.7","17.5","6.6","0.0"
37183053419,"Census Tract 534.19, Wake County, North Carolina",959,0,"39.2","-","0.0","-","1.1","-"
37183053420,"Census Tract 534.20, Wake County, North Carolina",1933,43,"47.1","100.0","9.8","0.0","14.0","44.2"
37183053421,"Census Tract 534.21, Wake County, North Carolina",1744,54,"48.0","35.2","4.9","64.8","1.9","0.0"
37183053422,"Census Tract 534.22, Wake County, North Carolina",861,0,"51.5","-","1.7","-","1.3","-"
37183053423,"Census Tract 534.23, Wake County, North Carolina",894,8,"35.6","0.0","4.6","0.0","2.9","0.0"
37183053424,"Census Tract 534.24, Wake County, North Carolina",1503,11,"48.0","100.0","3.5","0.0","7.1","0.0"
37183053425,"Census Tract 534.25, Wake County, North Carolina",878,9,"54.0","0.0","1.3","55.6","1.8","55.6"
37183053505,"Census Tract 535.05, Wake County, North Carolina",1372,0,"30.2","-","3.4","-","2.7","-"
37183053506,"Census Tract 535.06, Wake County, North Carolina",2215,76,"20.0","100.0","5.6","14.5","6.8","63.2"
37183053507,"Census Tract 535.07, Wake County, North Carolina",1599,200,"27.7","77.5","15.9","68.5","14.4","36.0"
37183053509,"Census Tract 535.09, Wake County, North Carolina",1857,16,"36.8","100.0","3.1","0.0","6.0","100.0"
37183053512,"Census Tract 535.12, Wake County, North Carolina",2756,17,"25.6","0.0","3.2","0.0","3.3","0.0"
37183053513,"Census Tract 535.13, Wake County, North Carolina",1752,59,"38.2","72.9","8.6","35.6","12.6","35.6"
37183053516,"Census Tract 535.16, Wake County, North Carolina",1419,92,"33.1","75.0","6.3","52.2","11.8","19.6"
37183053517,"Census Tract 535.17, Wake County, North Carolina",1511,95,"47.2","56.8","16.4","34.7","31.5","30.5"
37183053518,"Census Tract 535.18, Wake County, North Carolina",1581,30,"25.4","0.0","7.3","0.0","2.3","0.0"
37183053519,"Census Tract 535.19, Wake County, North Carolina",1981,40,"30.1","100.0","13.7","20.0","18.2","60.0"
37183053520,"Census Tract 535.20, Wake County, North Carolina",2329,78,"32.6","84.6","7.5","26.9","10.4","0.0"
37183053521,"Census Tract 535.21, Wake County, North Carolina",1200,32,"34.3","71.9","3.3","0.0","1.4","0.0"
37183053522,"Census Tract 535.22, Wake County, North Carolina",2148,105,"40.7","87.6","1.9","0.0","7.2","38.1"
37183053523,"Census Tract 535.23, Wake County, North Carolina",2120,41,"47.3","97.6","4.2","0.0","2.9","0.0"
